round,avg_accuracy,client_0,client_1,client_2,client_3,client_4,client_5,client_6,client_7,client_8,client_9
1,0.15857,0.1657,0.1273,0.1073,0.1708,0.1564,0.1924,0.2009,0.1868,0.1323,0.1458
2,0.17169,0.1704,0.2101,0.1087,0.1749,0.1,0.2076,0.2213,0.1881,0.139,0.1968
3,0.18675,0.1791,0.2215,0.1566,0.1809,0.1,0.2069,0.2337,0.1872,0.1912,0.2104
4,0.19553,0.1888,0.2463,0.1577,0.1596,0.1,0.1981,0.2436,0.1917,0.2431,0.2264
5,0.20465000000000005,0.201,0.2687,0.1456,0.1882,0.1,0.2262,0.2492,0.1919,0.2392,0.2365
6,0.20341,0.1949,0.2506,0.1586,0.1859,0.111,0.2408,0.2419,0.1859,0.2226,0.2419
7,0.21631999999999998,0.1942,0.3065,0.1659,0.19,0.1248,0.2479,0.256,0.1939,0.2445,0.2395
8,0.22139999999999999,0.1972,0.3319,0.2048,0.1924,0.1256,0.2518,0.2595,0.1919,0.2147,0.2442
9,0.23133999999999996,0.2388,0.2979,0.2125,0.2183,0.1228,0.2468,0.2735,0.1937,0.2617,0.2474
10,0.23384,0.2556,0.3296,0.194,0.2193,0.1312,0.2583,0.2585,0.1938,0.224,0.2741
11,0.22843,0.2099,0.3512,0.1948,0.2019,0.1147,0.2374,0.2878,0.1933,0.2048,0.2885
12,0.23106,0.2082,0.294,0.1713,0.227,0.1271,0.2266,0.3367,0.1932,0.2458,0.2807
13,0.25105000000000005,0.2545,0.3589,0.2286,0.2321,0.1607,0.2517,0.341,0.1926,0.2261,0.2643
14,0.24375,0.2522,0.3156,0.2054,0.2299,0.1387,0.2738,0.2927,0.2037,0.2655,0.26
15,0.24416,0.2552,0.3158,0.2159,0.2526,0.1158,0.2586,0.3197,0.2023,0.2278,0.2779
16,0.26214,0.2674,0.3435,0.1985,0.2461,0.1576,0.2586,0.3565,0.1974,0.2894,0.3064
17,0.26072,0.272,0.3546,0.2327,0.2458,0.1518,0.2539,0.3384,0.2205,0.282,0.2555
18,0.26128,0.2558,0.3318,0.2085,0.2369,0.1531,0.2583,0.3401,0.2096,0.2713,0.3474
19,0.25328000000000006,0.2379,0.3427,0.1706,0.2442,0.1431,0.2762,0.3506,0.2256,0.2502,0.2917
20,0.25533,0.2694,0.3569,0.2445,0.2492,0.1172,0.2633,0.288,0.2185,0.252,0.2943
1,0.1,0.1,0.16718253968253965,0.16718253968253965
